product_code,size_value,color_value,option_name
01P0000000025,FR,기타,기타/FR
01P0000000088,FR,기타,기타/FR
01P0000000307,FR,기타,기타/FR
01P0000000310,50ml,기타,기타/50ml
01P0000000375,FR,기타,기타/FR
01P0000000509,FR,기타,기타/FR
01P0000000535,FR,기타,기타/FR
01P0000000689,30ml,기타,기타/30ml
01P0000000790,FR,클리어 화이트,클리어 화이트/FR
01P0000001026,15ml,기타,기타/15ml
01P0000001176,FR,기타,기타/FR
01P0000001195,대,기타,기타/대
01P0000001205,FR,기타,기타/FR
01P0000001397,FR,기타,기타/FR
01P0000001436,FR,투명,투명/FR
01P0000001447,FR,기타,기타/FR
01P0000001593,6칸,투명,투명/6칸
01P0000001660,중,기타,기타/중
01P0000001853,FR,그레이,그레이/FR
01P0000001963,FR,기타,기타/FR
01P0000002036,28cm,기타,기타/28cm
01P0000002406,FR,기타,기타/FR
01P0000002426,FR,그레이,그레이/FR
01P0000002558,FR,기타,기타/FR
01P0000002615,30ml,투명,투명/30ml
01P0000003008,FR,화이트,화이트/FR
01P0000003631,대,기타,기타/대
01P0000003643,FR,기타,기타/FR
01P0000003793,FR,기타,기타/FR
01P0000003818,22cm,기타,기타/22cm
01P0000004319,FR,기타,기타/FR
01P0000004684,중,화이트,화이트/중
01P0000004745,26cm,기타,기타/26cm
01P0000004835,23cm,기타,기타/23cm
01P0000004845,FR,투명,투명/FR
01P0000004914,중,기타,기타/중
01P0000005006,23cm,기타,기타/23cm
01P0000005596,FR,기타,기타/FR
01P0000005632,25ml,기타,기타/25ml
01P0000005717,FR,기타,기타/FR
01P0000005739,8칸,투명,투명/8칸
01P0000005800,30ml,기타,기타/30ml
01P0000006215,FR,기타,기타/FR
01P0000006230,소,투명,투명/소
01P0000006292,특대,투명,투명/특대
01P0000006437,17cm,기타,기타/17cm
01P0000007020,FR,기타,기타/FR
01P0000007476,FR,기타,기타/FR
01P0000008072,FR,실버,실버/FR
01P0000008518,FR,그레이,그레이/FR
01P0000008539,50ml,투명,투명/50ml
01P0000008580,중,투명,투명/중
01P0000008851,FR,기타,기타/FR
01P0000008855,FR,샌드,샌드/FR
01P0000008904,대,투명,투명/대
01P0000008917,FR,기타,기타/FR
01P0000008934,FR,기타,기타/FR
